p3d_sanmiguel-view2_part6;4820;4540;6220;6900;3860;5180;6260;5740;4620;4380;4420;6340;3980;3300;4740;4740;
p3d_sanmiguel-view3_part6;10000;8220;6540;10000;9460;8500;8420;10000;6620;8540;10000;10000;9380;6620;10000;9260;
p3d_spaceship-view0_part6;3460;2100;1740;2700;7060;4540;2260;2420;10000;10000;2540;2980;10000;10000;6780;4180;
p3d_sportscar-view0_part6;5380;4700;5100;5340;3180;3380;2580;3340;5700;4540;4060;4500;5380;6540;5380;4540;
p3d_staircase-view0_part6;1900;1900;940;1180;2180;2220;1660;2540;2460;2420;2580;3660;3100;3140;2940;4300;
p3d_staircase-view1_part6;460;940;420;420;620;980;740;1020;1660;1180;1380;1060;1380;1340;3100;2100;
p3d_staircase2-view0_part6;2620;2980;5980;5060;2500;2860;2940;6020;3660;2580;2700;4100;4500;3860;3220;3820;
p3d_staircase2-view1_part6;3180;2820;4860;7300;3180;3820;5900;9460;5620;3660;2260;2820;2500;2220;1780;2020;
p3d_tt-view0_part6;4460;4380;4380;4460;4100;2940;3020;1940;2820;1900;3820;3660;4020;4780;4420;3660;
p3d_tungsten_veach-mis-view0_part6;1980;1300;1420;1580;2900;1540;1900;2580;7420;3500;8220;7540;7180;7300;6340;6060;
p3d_veach-ajar-view0_part6;8620;4540;1340;540;9500;10000;4180;10000;10000;9340;6220;10000;10000;10000;10000;10000;
p3d_veach-ajar-view1_part6;7620;3820;900;420;8940;4620;5980;5980;8620;9460;8340;5740;10000;10000;10000;6980;
p3d_villa-daylight-view0_part6;10000;7980;7660;9460;5780;7980;3020;3660;3780;6940;3380;5620;2940;2900;3180;2540;
p3d_villa-daylight-view1_part6;1540;2260;5420;7940;8300;7180;5700;5900;4700;5540;3980;3420;1700;2380;1980;3580;
p3d_villa-daylight-view2_part6;7980;7100;8180;6340;8100;5980;8700;2380;7460;4020;4420;2340;7260;4460;5420;4420;
p3d_vw-van-view0_part6;3300;2140;2580;4100;2780;2980;2500;2740;4300;3900;2380;2780;4820;4780;4260;4580;
p3d_whiteroom-daytime-view0_part6;380;380;380;380;420;380;380;380;420;420;500;420;2020;580;1140;420;
p3d_whiteroom-night-view0_part6;6420;5740;7740;5700;6820;6660;7740;5380;6380;7860;6100;7260;2460;4540;4220;5020;
